Date;Time;Temperature;Pressure;Humidity;Precipitation
2022-09-07;01:00:00;4.9;1022.2;100;0.0
2022-09-07;02:00:00;4.7;1022.2;100;0.0
2022-09-07;03:00:00;4.1;1022.3;100;0.0
2022-09-07;04:00:00;3.7;1022.3;100;0.0
2022-09-07;05:00:00;4.7;1022.5;100;0.0
2022-09-07;06:00:00;7.5;1022.7;100;0.0
2022-09-07;07:00:00;11.0;1023.0;87;0.0
2022-09-07;08:00:00;13.7;1023.2;73;0.0
2022-09-07;09:00:00;13.8;1023.5;70;0.0
2022-09-07;10:00:00;13.7;1023.5;71;0.0
2022-09-07;11:00:00;14.1;1023.3;69;0.0
2022-09-07;12:00:00;13.7;1023.3;69;0.0
2022-09-07;13:00:00;14.1;1023.1;67;0.0
2022-09-07;14:00:00;14.2;1023.1;69;0.0
2022-09-07;15:00:00;13.7;1023.4;71;0.0
2022-09-07;16:00:00;13.4;1023.2;74;0.0
2022-09-07;17:00:00;12.7;1023.5;70;0.0
2022-09-07;18:00:00;11.4;1023.9;76;0.0
2022-09-07;19:00:00;10.8;1024.2;82;0.0
2022-09-07;20:00:00;9.9;1024.4;84;0.0
2022-09-07;21:00:00;8.8;1024.7;90;0.0
2022-09-07;22:00:00;7.2;1024.8;95;0.0
2022-09-07;23:00:00;6.2;1025.0;97;0.0
2022-09-08;00:00:00;4.6;1025.1;98;0.0
2022-09-08;01:00:00;3.6;1025.1;100;0.0
2022-09-08;02:00:00;3.8;1024.9;100;0.0
2022-09-08;03:00:00;2.1;1024.8;100;0.0
2022-09-08;04:00:00;2.0;1024.8;100;0.0
2022-09-08;05:00:00;3.4;1025.0;100;0.0
2022-09-08;06:00:00;6.4;1025.1;100;0.0
2022-09-08;07:00:00;10.1;1025.4;84;0.0
2022-09-08;08:00:00;13.0;1025.6;65;0.0
2022-09-08;09:00:00;13.5;1025.8;59;0.0
2022-09-08;10:00:00;14.4;1025.5;54;0.0
2022-09-08;11:00:00;15.1;1025.2;54;0.0
2022-09-08;12:00:00;14.7;1024.7;56;0.0
2022-09-08;13:00:00;15.1;1024.2;57;0.0
2022-09-08;14:00:00;15.1;1023.9;59;0.0
2022-09-08;15:00:00;15.1;1023.6;59;0.0
2022-09-08;16:00:00;13.9;1023.7;66;0.0
2022-09-08;17:00:00;12.5;1023.8;75;0.0
2022-09-08;18:00:00;10.4;1023.7;83;0.0
2022-09-08;19:00:00;9.3;1023.9;85;0.0
2022-09-08;20:00:00;7.5;1024.1;91;0.0
2022-09-08;21:00:00;5.7;1024.5;97;0.0
2022-09-08;22:00:00;6.2;1024.8;98;0.0
2022-09-08;23:00:00;6.9;1024.7;95;0.0
2022-09-09;00:00:00;5.3;1024.1;97;0.0
2022-09-09;01:00:00;6.1;1024.0;99;0.0
2022-09-09;02:00:00;7.3;1023.6;95;0.0
